municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 11:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 12:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 13:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 14:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 15:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 16:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 17:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 18:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 19:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 20:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 21:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 22:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 23:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 00:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 01:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 02:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 03:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 04:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 05:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 06:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 07:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 08:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-06 09:10:00.0,0.00,
